level_0,index,school_id,username,caption,rating,retrieval_date,relative_date,timestamp,id_review,url_user,n_review_user
509,505,casuarina,Jon A77,Some students in the school can be better disciplined outdoors. One of the students ran pass the road and didn't see the cars and also threw a small fruit in the road just before the car came. I hope the school can look into the matter. Thanks.,2,2023-12-24 21:45:06.439133,2 years ago,2021-12-24 21:45:06,NA,NA,NA
510,506,casuarina,Izie Pascual,It has a playground and indoor hall so it is automatically cool,5,2023-12-24 21:45:06.440135,3 years ago,2020-12-24 21:45:06,NA,NA,NA
511,507,casuarina,itz zara here,It's really fun and they do their best to make more activity and let all students have their fun,5,2023-12-24 21:45:06.442134,4 years ago,2019-12-25 21:45:06,NA,NA,NA
512,508,casuarina,Mohd Mohaimin,"I M YASMIN QASRINA I LOVE MY TEACHERS, MDM LINDA, MDM SAHRA, MISS LIM, MISS LEE, MY PRINCIPAL AND FRIENDS I AM FROM PRIMARY 1F",5,2023-12-24 21:45:06.442134,4 years ago,2019-12-25 21:45:06,NA,NA,NA
513,509,casuarina,Yu Heng Tan,I Love the  school,5,2023-12-24 21:45:12.697594,5 years ago,2018-12-25 21:45:12,NA,NA,NA
514,510,casuarina,Its Kyla L.C.C !,my sister study there she says that she had loads of fun there with the teachers and her friends,5,2023-12-24 21:45:12.699594,5 years ago,2018-12-25 21:45:12,NA,NA,NA
515,511,casuarina,Gabriel Malolos,Its jus a normal primary school,3,2023-12-24 21:45:12.699594,5 years ago,2018-12-25 21:45:12,NA,NA,NA
516,512,casuarina,Ashok Sankaran,Good neighborhood school,5,2023-12-24 21:45:12.700594,6 years ago,2017-12-25 21:45:12,NA,NA,NA
517,513,casuarina,Jovan Ong,"Best Primary Sch ever Btw, Viva Victoria",5,2023-12-24 21:45:12.701594,6 years ago,2017-12-25 21:45:12,NA,NA,NA
518,514,casuarina,Zenn Neo,U know i am ex student in this school i mean i hate this school,2,2023-12-24 21:45:12.702594,7 years ago,2016-12-25 21:45:12,NA,NA,NA
519,519,casuarina,lennard ng,it is a good caring school,5,2023-12-24 21:45:18.907462,11 years ago,2012-12-26 21:45:18,NA,NA,NA
520,520,catholic-high,sgcoder1337,you get a star for be good school,1,2023-12-24 21:45:50.337211,2 weeks ago,2023-12-10 21:45:50,NA,NA,NA
521,521,catholic-high,Rayneldeus Tan,Pls accept my DSA 🥺 …,3,2023-12-24 21:45:50.338211,a month ago,2023-11-24 21:45:50,NA,NA,NA
522,522,catholic-high,Alex Chua,"This place was a beautiful area of Bishan. I loved it here as a primary school student  the facilities were so nice and the teachers where kind and warm to me. I loved it as the library has an assortment of books and a myriad of genres to choose from. This was the best time I’ve had in a long time. The recess hours were too short I must emphasize. Since the students were released at the same time for recess, a lot of the students rush and line up at the same time just to get some food. In worse cases, the chance of getting food was minimal. But all in all, it was an amazing experience and opportunity for me to be here!",5,2023-12-24 21:45:50.338211,a month ago,2023-11-24 21:45:50,NA,NA,NA
523,523,catholic-high,D Industries,"Reconsider your school choice. School facilities lacking, subject departments incompetant. I stand by my opinion.",1,2023-12-24 21:45:50.339211,2 months ago,2023-10-25 21:45:50,NA,NA,NA
524,524,catholic-high,Tai Ming Wong,I am not from this school. However I am doing the catholic high preliminary examination 2022 paper but the paper is printed poorly. Please print paper better.,3,2023-12-24 21:45:50.341213,3 months ago,2023-09-25 21:45:50,NA,NA,NA
525,525,catholic-high,formal complaint,There is no toilet paper in the stalls and the school management arranged for construction during a Chinese exam causing loud construction noises during the exam in addition to screaming primary school children during the exam which shows a lack of communication and collaboration between the primary and secondary sides which is bad,1,2023-12-24 21:45:50.341213,4 months ago,2023-08-26 21:45:50,NA,NA,NA
526,526,catholic-high,Yucheng Li,CHS BESTTT,5,2023-12-24 21:45:50.342213,4 months ago,2023-08-26 21:45:50,NA,NA,NA
527,527,catholic-high,Justin Lee Yu See (Chs),boooooooo,3,2023-12-24 21:45:50.342213,5 months ago,2023-07-27 21:45:50,NA,NA,NA
528,528,catholic-high,See Ray Ng,"Studied here. School culture has become better after the new principal came in, facilities are adequate, lessons are well planned. Teachers are quite supportive for all thwir students. Track is in abit of a disrepair, but they are working on it. Overall, discipline is strict and the culture for care for students is there.",5,2023-12-24 21:45:50.343213,6 months ago,2023-06-27 21:45:50,NA,NA,NA
529,529,catholic-high,Kiat Chun Ho,"The students are nice, but the track is slightly broken.",5,2023-12-24 21:45:50.344213,7 months ago,2023-05-28 21:45:50,NA,NA,NA
530,530,catholic-high,Huang Shi,From VP drp to HOD. A joke 😂 …,2,2023-12-24 21:45:50.345213,8 months ago,2023-04-28 21:45:50,NA,NA,NA
531,531,catholic-high,Ng Caleb (Chs),I love my school! CHS promotes bilingualism and turn us into leaders. My Blood is Green lol.,5,2023-12-24 21:45:50.345213,10 months ago,2023-02-27 21:45:50,NA,NA,NA
532,532,catholic-high,Caleb Ng,"Has been my school for 8 years+, love it and I feel like home whenever I am here and around my friends. Good education as well, encouraging bilingualism and promoting people to be leaders.",5,2023-12-24 21:45:50.346214,10 months ago,2023-02-27 21:45:50,NA,NA,NA
533,533,catholic-high,Declan Tan,I am a student in this school  the teaching is good. The  staff are friendly good food in the canteen we practice lock down drills and fire drills,5,2023-12-24 21:45:50.346214,10 months ago,2023-02-27 21:45:50,NA,NA,NA
534,534,catholic-high,Kiefer Yew Kai Jun (Chs),The school is very clean and it is a good environment for studying and learning. I have been in this school for 8 years plus. Really recommend coming to this school.,5,2023-12-24 21:45:50.347213,10 months ago,2023-02-27 21:45:50,NA,NA,NA
535,535,catholic-high,Raphael Tham,"Nice place, good food, good Teachers and interesting programs",5,2023-12-24 21:45:50.347213,10 months ago,2023-02-27 21:45:50,NA,NA,NA
536,536,catholic-high,Ng Zhong En Caleb (Chs),I’m a student from CHS. The friends and classmates there are friendly and it is a safe area for studying. Teachers are also very dedicated and sincere when they teacher 😁😁! highly recommended to join this school 👍 …,5,2023-12-24 21:45:50.348213,11 months ago,2023-01-28 21:45:50,NA,NA,NA
537,537,catholic-high,NetherWolfAlpha,👍👍👍 …,5,2023-12-24 21:45:56.523049,11 months ago,2023-01-28 21:45:56,NA,NA,NA
538,538,catholic-high,PPM Property KALTIM,How study fee annual?,5,2023-12-24 21:45:56.524050,a year ago,2022-12-24 21:45:56,NA,NA,NA
539,539,catholic-high,Keegan Tan,"So slay ❤️, food is delicious highly recommend.",5,2023-12-24 21:45:56.525050,a year ago,2022-12-24 21:45:56,NA,NA,NA
540,540,catholic-high,Adrian Peeris,Wonderful working environment. Collegial.,5,2023-12-24 21:45:56.526049,a year ago,2022-12-24 21:45:56,NA,NA,NA
541,541,catholic-high,Landon Lim,Very good school,5,2023-12-24 21:45:56.527050,a year ago,2022-12-24 21:45:56,NA,NA,NA
542,542,catholic-high,Yuyang Lin,"This is a SAP School which teaches both Chinese and English language. The CHS vision is that all Catholic High students are leaders, gentleman and bilingual scholars of high integrity and robust character, who is passionate about life, learning, and service to others.",5,2023-12-24 21:46:02.788567,2 years ago,2021-12-24 21:46:02,NA,NA,NA
543,543,catholic-high,He Cheng En (Chs),"most of the teachers here are fun, patient and they have specialised teaching styles to teach us. Every teacher is different, from some that is super kind that never shouts to students for the past 5 years, to some that is kind when the class is paying attention and becomes a literal tiger when class is talking. Teachers hear student's thoughts when they have time, and so far every teacher i have met is all super good to my class. The food is very good, just a tiny bit expensive as compared to primary school by like 20 to 30 cents. The classroom floor is a bit old though, with lots of cracks. But that is made up by the air-conditioned classrooms at the top level. Generaly, it is a super good school, and i like it.",5,2023-12-24 21:46:02.789565,2 years ago,2021-12-24 21:46:02,NA,NA,NA
544,544,catholic-high,Soh En Wei,"If you're coming here just because of the Integrated Programme, kindly reconsider if you wish to join the elitist feeding frenzy. At the very least, consider your options more Sincerely, a CHS Student",2,2023-12-24 21:46:02.792566,2 years ago,2021-12-24 21:46:02,NA,NA,NA
545,545,catholic-high,Jon Tan,Definitely the worst school i have seen. I am so talented but they rejected me when i dsa.(jkjk),5,2023-12-24 21:46:09.038773,3 years ago,2020-12-24 21:46:09,NA,NA,NA
546,546,catholic-high,Stella Gwee,good compound with interesting facilities,5,2023-12-24 21:46:09.039773,3 years ago,2020-12-24 21:46:09,NA,NA,NA
547,547,catholic-high,Sporty And More,Nice,5,2023-12-24 21:46:09.040772,3 years ago,2020-12-24 21:46:09,NA,NA,NA
548,548,catholic-high,Christian Dick Ignacio,Teachers are awesome,5,2023-12-24 21:46:09.042772,4 years ago,2019-12-25 21:46:09,NA,NA,NA
549,596,changkat,Tyler,Its a great school with awesome teachers that are willing to teach,4,2023-12-24 21:47:49.792165,2 years ago,2021-12-24 21:47:49,NA,NA,NA
550,771,chua-chu-kang,Jsonn,Noise from the school gets unbearable at night as loud croaking from the frogs in the school can be heard from the HDB around the school.,1,2023-12-24 21:56:35.023975,a year ago,2022-12-24 21:56:35,NA,NA,NA
551,549,catholic-high,Jonathan Ng,"Studied here for a year with a blue name tag in 2016. Transferred out afterwards. Toxic school culture. Good food though, especially the malay stall, the peranakan stall and hokkian mee from the noodles stall. School layout is absurd, especially the canteen. Student's Council made students pay to play their games. The cafe got food from Polar bakery and charged students a lot more than it actually costs. Extorted students for money for trivial things like printing of notes and worksheets. Once the VP (LYH) stormed into class via the back door during chinese class and screeched at us for not returning our cutlery after our meals. Prowled along the corridors to admonish those made to stand outside. Had half the canteen drop once during lunch as someone ran off without returning his tray. Threatened us to be able to expel any student within 5 seconds. Chased a frightened student down the driveway for no apparent reason. Often times he left the school really early to play golf. Had to recite the redundant school vision every morning- either in English or Mandarin depending on the day of the week. Preachings on Fridays. The compound was filthy. Almost every restroom stank and had enormous pests. Had a Chemistry teacher (EK) who hit his girlfriend while she was hospitalised. It was in the papers. He had a really short temper. That place was really not for me. I remembering telling my classmates then during the year-end party that it was going to be my last day there and walked straight out of there. It was. But as unlucky as it turns out my new school is pretty bad too. Either way all I can say is single-gender education is not the way to go. Be it in green or in red.  #mybloodisnotgreen #nosignoflabour  Side note: Is the video of the 2 students legit???",1,2023-12-24 21:46:09.042772,4 years ago,2019-12-25 21:46:09,NA,NA,NA
552,550,catholic-high,Jasmine Say,The best school in the world!,5,2023-12-24 21:46:15.309178,4 years ago,2019-12-25 21:46:15,NA,NA,NA
553,551,catholic-high,Thanatos The Slayer,My school very bad,1,2023-12-24 21:46:15.310178,4 years ago,2019-12-25 21:46:15,NA,NA,NA
554,552,catholic-high,Jason,extremely good school with caring teachers. I can see many of my friends writing good reviews here :D,5,2023-12-24 21:46:15.312179,4 years ago,2019-12-25 21:46:15,NA,NA,NA
555,553,catholic-high,Liam,Great school to go to,5,2023-12-24 21:46:15.313179,4 years ago,2019-12-25 21:46:15,NA,NA,NA
556,554,catholic-high,Elric,Wah this school got powerful action going on,5,2023-12-24 21:46:21.552933,4 years ago,2019-12-25 21:46:21,NA,NA,NA
557,555,catholic-high,Low Soon Kuan,I like the school as my nephews studied there for ten years. Now their children are studying there cos there is Chinese traditional value passed down for generations. Students are bilingual and Excel in the Chinese competition. The atmosphere is competitive and good parental support.,4,2023-12-24 21:46:21.554934,4 years ago,2019-12-25 21:46:21,NA,NA,NA
558,556,catholic-high,Noomery,Excellent environment and spacious with corridors that showcase historical artefacts.,4,2023-12-24 21:46:21.554934,4 years ago,2019-12-25 21:46:21,NA,NA,NA
559,557,catholic-high,tadasi ls,Curiosity comes when I see a school with a Chinese name,5,2023-12-24 21:46:21.555934,4 years ago,2019-12-25 21:46:21,NA,NA,NA
560,558,catholic-high,Misty,"I’m in the school. To give you a new experience, we have sports, aesthetics and uniform groups CCA. For sports, we have basketball CCA , Volleyball CCA, and many more. We also have a band which played at the botanical garden. Please message me if you are joining band and I would gladly ask my friends to help with all the knowledge that we know. In the school, we have many games such as the ping pong table, the Soccer table, the hokey table, the Basketball shooting game and many which are coming out in the future. If you are Christian or a Catholic, we have weekly mass and the founders day with our priest coming to our school to give the Catholic or Christian a biscuit. In the morning in both primary and secondary sections, we always have our daily morning prayer to god. We have many buildings for sports like the 0.4 km running track, the indoor sports hall with 2 levels high. I hope all this information is enough for new students to come in and the transfer students. May all god bless all of you.  Thank you for taking the time to read this letter!  Primary 6 prefect, Anonymous 6Charity",5,2023-12-24 21:46:27.945642,5 years ago,2018-12-25 21:46:27,NA,NA,NA
561,559,catholic-high,Bryan Chihan,"As an alumni of Catholic High School (been there from 6 years of age to 16) from the preparatory year to secondary 4, i can say that this is indeed a unique school that nurtures individuals differently from other top schools.  students that graduate are not the usual man on the street, but have a distinct, unique flavor that most people can identify as ""Cat High Boy"", even many years down the road. while it is intended as a jab to Cat High alumni. i think it's more of a recognition that we are unlike others. we are a blend of both intellectual yet understanding, and being high achievers yet humble.  this is especially seen in the Catholic High Scout Group, undoubtedly the best in Singapore. The training is tough, and trains us into future leaders. we are both thinkers and doers, unlike others.",5,2023-12-24 21:46:27.946642,5 years ago,2018-12-25 21:46:27,NA,NA,NA
562,560,catholic-high,Luke Ang,"TL;DR There is a rigid school culture that values pretenses, vague promises and results on paper than the students’ wellbeing and joy for learning, choosing instead to reinforce conformity and the status quo. It is destructive to the uniqueness of students and teachers alike.  I was a Primary school student here from 2011-2016, and I’ve had both excellent and terrible teachers. Some genuinely care for their students, and are willing to go the extra mile for them to cultivate a joy for learning, but whether your child is taught by one of these passionate teachers is a game of dice.  Other teachers are mediocre, who view the job as nothing more than a requirement, and go into class to teach the bare minimum, and leave. There are a few, though, who are absolutely terrible - teachers ripping up worksheets, holding seven-year-olds by the collar and shouting in their faces for nothing more than literally stepping out of line - these are not uncommon sights. I’ve had teachers who yelled at some of my classmates, calling them “fat”, “stupid”, and other names. I’ve been told by a teacher that he “likes to cane students” as a scare tactic. Ironic, considering how much they constantly stress on the value of “leadership”.  Some leave students with lies for the purpose of achieving the school's goals, or to the benefit of their KPIs. The school’s pedagogy leaves innumerable things to be desired, creating a self-defeating educational milieu and choosing instead to conceal these shortcomings with a façade of values held up by nothing more than empty words. The environment in class is often no more than fear and resentment, and it’s no wonder that not a single student from the GEP graduating cohort of 2016 chose to return for secondary education.  There is much posturing and virtue-signalling about “character” and a “passion for learning” but nothing is done on the ground. I’ve spoken to teachers who hold genuine concern for the students, and even they feel constricted by the stifling environment. I’m not alone in my opinion, and I can say that I speak for the majority of my P6 class (they had a say in this review).  With all that said, I have no other primary school to compare Catholic High with, and I am not in the best position to critique it unbiasedly. However, many of my previous classmates have come from other primary schools and hold fondness for them, something that cannot be said for Catholic High.  Edit: grammar",2,2023-12-24 21:46:27.947643,5 years ago,2018-12-25 21:46:27,NA,NA,NA
563,561,catholic-high,Nicholas Koh,"Fantastic school! What's more, it is the secondary school of Prime Minister Lee Hsien Loong :)",5,2023-12-24 21:46:27.950643,5 years ago,2018-12-25 21:46:27,NA,NA,NA
564,562,catholic-high,Yeo Kai Jiun,great sch¡¡¡,5,2023-12-24 21:46:27.951644,5 years ago,2018-12-25 21:46:27,NA,NA,NA
565,563,catholic-high,Bullion Tan,My Brother is excellent in that school,5,2023-12-24 21:46:34.276085,5 years ago,2018-12-25 21:46:34,NA,NA,NA
566,772,chua-chu-kang,syn8,I work here and I can say this school is bad. But it is good,5,2023-12-24 21:56:35.023975,a year ago,2022-12-24 21:56:35,NA,NA,NA
567,564,catholic-high,rlovespudding,"quite a bad school to be honest. not too happy with the ways they teach and nuture the students in there but the school itself is exorbitantly rich and has many exotic pets like Amazon catfish, freshwater carps and even a hornbill complete with many ponds filled with other large fish. They also have a dentist, free for all students in any school as with any other school in Singapore with a dentist.",2,2023-12-24 21:46:34.277087,5 years ago,2018-12-25 21:46:34,NA,NA,NA
568,565,catholic-high,Caroline Tan,"My son's Alma Mater, 2014-2017.",5,2023-12-24 21:46:34.278085,6 years ago,2017-12-25 21:46:34,NA,NA,NA
569,566,catholic-high,Gina Escosio,To MEAT,4,2023-12-24 21:46:34.278085,6 years ago,2017-12-25 21:46:34,NA,NA,NA
570,567,catholic-high,Robin Tan,Boys are very well cultured. They bow when they see parents coming in.,4,2023-12-24 21:46:34.279086,6 years ago,2017-12-25 21:46:34,NA,NA,NA
571,568,catholic-high,Duane Neo,This school is okay,5,2023-12-24 21:46:34.280086,6 years ago,2017-12-25 21:46:34,NA,NA,NA
572,569,catholic-high,raj deva,"Other than being a boys school and being slightly overly focused on results, it is a great school.",3,2023-12-24 21:46:40.635541,6 years ago,2017-12-25 21:46:40,NA,NA,NA
573,570,cedar,Azizur Rahman,It is so good,5,2023-12-24 21:47:05.928677,4 days ago,2023-12-20 21:47:05,NA,NA,NA
574,571,cedar,Laiqa Raudha,Very fun,5,2023-12-24 21:47:05.929678,a month ago,2023-11-24 21:47:05,NA,NA,NA
575,572,cedar,Kaydenyeo,i like the school but the thing is the teachers some of them are like abit rude and i do not like like that,1,2023-12-24 21:47:05.929678,3 months ago,2023-09-25 21:47:05,NA,NA,NA
576,573,cedar,Revathi Jayan,"I came from this school 30 years ago. I still miss the environment, some teachers and friends. Of coz, there was one teacher called Mrs Ling, my form teacher whom I did not like due to her approach towards students. She was very baised and has issues in dealing with students of other races and those from typical average households. Rather than teaching and encouraging students to develop an interest in studies, she always behaved awkwardly and was too much. One of my nightmares.  Another one was this Chek Salimah who kept on saying 'we are born like that'  and that too for not submitting homework? Look at the kind of behavior these people had towards children and yet expected us to appreciate them. lol!  Mr Quek and Mr Lok were my principles. I met them many times after graduating.  Other than that, i still keep in touch with my friends from there. We Have good out of classroom memories to cherish. Now, I am a teacher myself but my students like me because I learnt all the bad examples from this school and my secondary school.",3,2023-12-24 21:47:05.930678,4 months ago,2023-08-26 21:47:05,NA,NA,NA
577,574,cedar,Iswandi SK,1 of the best primary school.,4,2023-12-24 21:47:05.931679,6 months ago,2023-06-27 21:47:05,NA,NA,NA
578,575,cedar,Jimmy Ong,"A teacher from year 1989 to year 1994. They looked down on student who was weaker in study than help out the weaker. Everytime keep showing that those weaker student are useless, look down even though the student are keep respecting to the principal n teacher. N even weaker student got bullied, teachers are always side the students who are good in study n let them carry on bullied the weaker student. Such a teacher like tat, until now i still remember in my heart. Those teacher name call Mrs Raja, Miss Tan, Mr Chen n Mrs Lim. Those are the teacher who look up on rich student, n also told the weaker/poor student to get out from their site n dun wanna see their face when the student graduated from this school. So yup, granted their wishes n not to see them again in the future.",1,2023-12-24 21:47:05.931679,8 months ago,2023-04-28 21:47:05,NA,NA,NA
579,576,cedar,Huang Sc,"Disrespectful, aggressive and poorly behaved students with no decorum, negative behavioural issues and have absolutely no respect for others such as other teachers  peers and resources. Am still traumatised when I think about these kids as they certainly are absolutely horrible and lack discipline. That said, there are still some kids in this school who are nice and cute.",1,2023-12-24 21:47:05.932680,8 months ago,2023-04-28 21:47:05,NA,NA,NA
580,577,cedar,OMAR,nice school,5,2023-12-24 21:47:05.933678,a year ago,2022-12-24 21:47:05,NA,NA,NA
581,578,cedar,65 Adventure Pte Ltd,Loved the opportunity to work with Mr Rizal and his team in the outdoor adventure club!,5,2023-12-24 21:47:05.934679,a year ago,2022-12-24 21:47:05,NA,NA,NA
582,579,cedar,Clin Tan,One of the best primary school in Singapore!,5,2023-12-24 21:47:05.935680,2 years ago,2021-12-24 21:47:05,NA,NA,NA
583,580,cedar,Tina Luma,Its good but some of the students are just rude,4,2023-12-24 21:47:05.938678,4 years ago,2019-12-25 21:47:05,NA,NA,NA
584,581,cedar,Noomery,Students were nice.,4,2023-12-24 21:47:05.939680,5 years ago,2018-12-25 21:47:05,NA,NA,NA
585,582,cedar,Hayashi Keiichi,Coeducational elementary school separate from Cedar Girls,3,2023-12-24 21:47:12.099357,5 years ago,2018-12-25 21:47:12,NA,NA,NA
586,583,cedar,Tan Yi Min,It is a very nice place to learn as a primary school student and certify there should love it,4,2023-12-24 21:47:12.100357,6 years ago,2017-12-25 21:47:12,NA,NA,NA
587,584,cedar,Harry Mak,"my experience is bad,the faciltiltes are digusitng",2,2023-12-24 21:47:12.102358,7 years ago,2016-12-25 21:47:12,NA,NA,NA
588,585,cedar,GhazGang,It is me fav school and I always 100% never change school,5,2023-12-24 21:47:12.103358,8 years ago,2015-12-26 21:47:12,NA,NA,NA
589,586,cedar,Irfaan Ishak,"Very Kind Teachers,Principal, Friends and Very good sch environment. I love this sch I miss P6 Grad Trip""12. It was the best moments ever had wif my friends in the last days of pri sch life. I miss my primary sch friends they were the best.This is the best pri sch I have ever seen and attended.They help a lot in my PSLE.This is the best pri sch ever in singapore.",5,2023-12-24 21:47:18.315120,11 years ago,2012-12-26 21:47:18,NA,NA,NA
590,587,changkat,Angulakshmi,Worst school I have seen in my life,1,2023-12-24 21:47:49.784164,4 weeks ago,2023-11-26 21:47:49,NA,NA,NA
591,588,changkat,Malki Lung Yan Tak (Changkatps),Excellent teaching and fun games.,5,2023-12-24 21:47:49.784164,3 months ago,2023-09-25 21:47:49,NA,NA,NA
592,589,changkat,rajesh p,Good School with decent amenities.,5,2023-12-24 21:47:49.785164,5 months ago,2023-07-27 21:47:49,NA,NA,NA
593,590,changkat,Teck Lim Tan,A great school!,5,2023-12-24 21:47:49.785164,9 months ago,2023-03-29 21:47:49,NA,NA,NA
594,591,changkat,Ivan,Never seen a school with that many signage of its name.,3,2023-12-24 21:47:49.787164,a year ago,2022-12-24 21:47:49,NA,NA,NA
595,592,changkat,Shanelle Tan,There are passionate teachers leading the children.,5,2023-12-24 21:47:49.788164,a year ago,2022-12-24 21:47:49,NA,NA,NA
596,593,changkat,xiao bao,I must say this is a great school with full of caring and good teachers!  This is an excellent neighbourhood school with such integreted care and educations ( not only in educations but also in character development)...  I want to say thank you to the school tearchers and pricinples. Thank you to support us especially during the past 2 years +  chanllenged COVID-19 time. Thanks for all your support and efforts to the kids. So that  I can focus on my work without worrying. Most important my child goes to the dream Secondary school in 2021 PSLE.,5,2023-12-24 21:47:49.789163,a year ago,2022-12-24 21:47:49,NA,NA,NA
597,594,changkat,Koh Dun Yao,yay my school :D,3,2023-12-24 21:47:49.790164,2 years ago,2021-12-24 21:47:49,NA,NA,NA
598,595,changkat,LEE AH KOW,Very memorable.,5,2023-12-24 21:47:49.790164,2 years ago,2021-12-24 21:47:49,NA,NA,NA
599,597,changkat,Badar Husain,"The school helped us settle our kids and assimilate in Singapore education system easily. , The principal and teachers are good.  Most important is the office and admin staff look after kids in case of any issues.",5,2023-12-24 21:47:49.792165,3 years ago,2020-12-24 21:47:49,NA,NA,NA
600,598,changkat,Patrick Teh,Very different image from what was portrayed earlier with a bad image. All services are good. Teachers very responsible.,5,2023-12-24 21:47:55.981027,4 years ago,2019-12-25 21:47:55,NA,NA,NA
601,599,changkat,harshana,"Great school. Made a lot of good friends along the way and made wonderful sweet memories with the Teachers and other students. My Teachers helped and pushed me in my studies but also kept lessons fun and interactive, knowing when to be strict. Teachers helped me from getting E grade in math to getting a B in the PSLE and helped me from getting D’s in Malay to an A in the PSLE. Also helped me from getting a B in Science to getting an A for the PSLE! The school also encourages the use of ICT in lessons so I could have a much more fun way of learning. The school also teaches pupils that reading books of the English language or second language is important for the future. I would highly recommend this school to any parent who would want their child to adapt the values of patriotism, resilience, integrity, discipline, empathy and respect, the school’s main values and want their child to form long lasting bonds with other students and Teachers while building their interests and acedemics. Also, if you want your child to be familiar with ICT or exposed to different ways of learning, this is the place to go! Even though this isn’t a very ‘popular’ school and many people view it as just a regular neighbourhood school, I can assure you this school will make a good imapct on your child. This school was a really big part of my life and I means a lot me and I feel any student here will feel that when they leave for secondary school. Thanks Changkat Primary!",5,2023-12-24 21:47:55.996652,4 years ago,2019-12-25 21:47:55,NA,NA,NA
602,600,changkat,Huey Teng Cheng,Cultivate innovators,5,2023-12-24 21:47:55.996652,5 years ago,2018-12-25 21:47:55,NA,NA,NA
603,601,changkat,Ernest Teo,I  am  from  ckps,3,2023-12-24 21:47:55.998953,5 years ago,2018-12-25 21:47:55,NA,NA,NA
604,602,changkat,Pranav,THIS IS THE BEST PRIMARY SCHOOL EVER; helped me ace PSLE and move on,5,2023-12-24 21:48:02.172445,5 years ago,2018-12-25 21:48:02,NA,NA,NA
605,603,changkat,Aidil Khalis,my school!!! my school,5,2023-12-24 21:48:02.172445,7 years ago,2016-12-25 21:48:02,NA,NA,NA
606,604,changkat,Three Kickers,Not nice school,2,2023-12-24 21:48:02.172445,7 years ago,2016-12-25 21:48:02,NA,NA,NA
607,605,changkat,Venus Yeap,cool!!!,5,2023-12-24 21:48:08.332464,8 years ago,2015-12-26 21:48:08,NA,NA,NA
608,606,,Delima Jaffar,The teacher  were kind except mrs joyce Chua but pri 1 is so fun,5,2023-12-24 21:49:41.443692,a month ago,2023-11-24 21:49:41,NA,NA,NA
609,607,,Gavlyn,"My teachers are strict since we're older, but they are very funny too. You have mass prayers before assembly in class on Fridays every first week of the month. My fav teacher is Mr Timothy Koh, Mdm Teo, and Miss Abi. Some may be strict but I don't hate any of them. My mom also chose this school because it's 10 mins away. Bus 3 uncle drive in the afternoon more funny. He sing in bus and will make jokes. HIGHLY RECOMMEND!!! 👏👏",5,2023-12-24 21:49:41.443692,2 months ago,2023-10-25 21:49:41,NA,NA,NA
610,608,,Tiffany Ke Enxi,Im right now P5 in this school and i like it a lot :D a teacher even gave a student milo when she was feeling dizzy or sick idk,5,2023-12-24 21:49:41.443692,3 months ago,2023-09-25 21:49:41,NA,NA,NA
611,609,,lush,p6 in 2023 netball school team horrible no humility,2,2023-12-24 21:49:41.443692,5 months ago,2023-07-27 21:49:41,NA,NA,NA
612,610,,hmmm !!!!!,i love mrs ong and mrs tan,3,2023-12-24 21:49:41.443692,6 months ago,2023-06-27 21:49:41,NA,NA,NA
613,611,,hdhxys bzbs,p6s in 2023 are NOT it gave me ptsd,1,2023-12-24 21:49:41.443692,6 months ago,2023-06-27 21:49:41,NA,NA,NA
614,612,,Stacey Kong Jee Yi (Chijstcs),"ok as an alumni its honestly a rather good school. many facilities and have lots of good teachers. however, i will say that some teachers are rather annoying and some just outright abuse their power. many of the students have complained about one specific teacher which made them kneel at the back of their classes for not doing their assignments, which imo is abit extra. other teachers are incredibly kind-hearted and reasonable, which students appreciate alot for a teacher. other than teachers, its honestly a good school with not much cons. :)",4,2023-12-24 21:49:41.443692,7 months ago,2023-05-28 21:49:41,NA,NA,NA
615,613,,Roman Hossain,Very good,5,2023-12-24 21:49:41.451019,9 months ago,2023-03-29 21:49:41,NA,NA,NA
616,614,,Amanda Liong,I love my teacher,5,2023-12-24 21:49:41.451019,11 months ago,2023-01-28 21:49:41,NA,NA,NA
617,615,,Estelle Francis,"Hi! I'm a P6 graduate of 2022 and I think that the school has many good teachers and office staff they treat everyone in the school with care.even in the holding school, opposite Queensway was also very good as they would all be there for you the canteen stall vendors are all caring and they all treat the food with extra care and I really recommend this school as it is the best of all time and I really enjoyed the days there even my friends are good influence we all treat each other with respect and there were never racism in the school. I really enjoyed it there this is the BEST SCHOOL.",5,2023-12-24 21:49:41.452025,11 months ago,2023-01-28 21:49:41,NA,NA,NA
618,616,,J LSY,"Hi! I am a P6 graduate from the class of 2022. My 6 years in Kellock has been absolutely fantastic. Of course, there are strict teachers. However, I like to think that it is just tough love. ❤️ The teachers are nurturing and loving, having our best interests at heart. I would definitely recommend CHIJ KELLOCK to parents wanting to enroll their girls into this school. The students there are also nice, however there ate only a couple of girls who are not nice. Nonetheless, I will always remember the memories I have with Kellock, and I will always be a part of the IJ Kellock family.",5,2023-12-24 21:49:41.453025,a year ago,2022-12-24 21:49:41,NA,NA,NA
